itemsets,support
"frozenset({'Coffee', 'Carrots'})",0.0208
"frozenset({'Fish', 'Shampoo'})",0.0212
"frozenset({'Sugar', 'Soap'})",0.0206
"frozenset({'Sugar', 'Toothpaste'})",0.0218
"frozenset({'Flour', 'Rice'})",0.021
"frozenset({'Butter', 'Flour'})",0.0234
"frozenset({'Rice', 'Juice'})",0.019
"frozenset({'Juice', 'Bananas'})",0.02
"frozenset({'Flour', 'Onions'})",0.0212
"frozenset({'Bread', 'Carrots'})",0.0226
"frozenset({'Juice', 'Cheese'})",0.0242
"frozenset({'Oil', 'Bread'})",0.0214
"frozenset({'Sugar', 'Shampoo'})",0.0198
"frozenset({'Cereal', 'Bananas'})",0.0218
"frozenset({'Oranges', 'Tomatoes'})",0.0222
"frozenset({'Milk', 'Onions'})",0.0234
"frozenset({'Juice', 'Toothpaste'})",0.0214
"frozenset({'Bread', 'Tea'})",0.0216
"frozenset({'Milk', 'Pasta'})",0.0208
"frozenset({'Sugar', 'Eggs'})",0.0238
"frozenset({'Milk', 'Apples'})",0.0238
"frozenset({'Carrots', 'Bananas'})",0.0212
"frozenset({'Salt', 'Shampoo'})",0.0252
"frozenset({'Eggs', 'Juice'})",0.0202
"frozenset({'Tomatoes', 'Chicken'})",0.0214
"frozenset({'Juice', 'Grapes'})",0.0216
"frozenset({'Rice', 'Beef'})",0.0204
"frozenset({'Eggs', 'Tomatoes'})",0.0208
"frozenset({'Sugar', 'Potatoes'})",0.0204
"frozenset({'Sugar', 'Coffee'})",0.0202
"frozenset({'Flour', 'Grapes'})",0.0218
"frozenset({'Shampoo', 'Onions'})",0.0232
"frozenset({'Fish', 'Soap'})",0.0236
"frozenset({'Cereal', 'Apples'})",0.0208
"frozenset({'Tomatoes', 'Shampoo'})",0.0234
"frozenset({'Coffee', 'Cheese'})",0.0256
"frozenset({'Juice', 'Tea'})",0.0184
"frozenset({'Milk', 'Shampoo'})",0.0234
"frozenset({'Tea', 'Bananas'})",0.0194
"frozenset({'Bread', 'Coffee'})",0.0214
"frozenset({'Salt', 'Toothpaste'})",0.023
"frozenset({'Oranges', 'Bananas'})",0.0228
"frozenset({'Sugar', 'Pasta'})",0.0186
"frozenset({'Chicken', 'Milk'})",0.0208
"frozenset({'Onions', 'Toothpaste'})",0.0222
"frozenset({'Potatoes', 'Pasta'})",0.0196
"frozenset({'Tomatoes', 'Bananas'})",0.021
"frozenset({'Butter', 'Onions'})",0.0196
"frozenset({'Juice', 'Onions'})",0.0236
"frozenset({'Oil', 'Carrots'})",0.0244
"frozenset({'Rice', 'Pasta'})",0.0188
"frozenset({'Milk', 'Toothpaste'})",0.0214
"frozenset({'Butter', 'Pasta'})",0.019
"frozenset({'Butter', 'Bananas'})",0.023
"frozenset({'Juice', 'Salt'})",0.0224
"frozenset({'Fish', 'Coffee'})",0.0234
"frozenset({'Oil', 'Shampoo'})",0.0208
"frozenset({'Fish', 'Onions'})",0.0192
"frozenset({'Eggs', 'Coffee'})",0.024
"frozenset({'Butter', 'Coffee'})",0.0206
"frozenset({'Oil', 'Potatoes'})",0.0206
"frozenset({'Grapes', 'Toothpaste'})",0.0244
"frozenset({'Eggs', 'Toothpaste'})",0.0228
"frozenset({'Carrots', 'Pasta'})",0.0178
"frozenset({'Oil', 'Rice'})",0.0228
"frozenset({'Oil', 'Bananas'})",0.0206
"frozenset({'Eggs', 'Butter'})",0.0216
"frozenset({'Flour', 'Beef'})",0.021
"frozenset({'Butter', 'Chicken'})",0.0184
"frozenset({'Soap', 'Potatoes'})",0.0248
"frozenset({'Potatoes', 'Toothpaste'})",0.0234
"frozenset({'Eggs', 'Rice'})",0.0208
"frozenset({'Bread', 'Tomatoes'})",0.023
"frozenset({'Bread', 'Rice'})",0.0208
"frozenset({'Bread', 'Butter'})",0.0222
"frozenset({'Cheese', 'Toothpaste'})",0.0236
"frozenset({'Oil', 'Soap'})",0.0204
"frozenset({'Coffee', 'Onions'})",0.023
"frozenset({'Salt', 'Cereal'})",0.0228
"frozenset({'Oranges', 'Yogurt'})",0.0166
"frozenset({'Oil', 'Apples'})",0.0222
"frozenset({'Coffee', 'Tomatoes'})",0.0238
"frozenset({'Yogurt', 'Milk'})",0.02
"frozenset({'Eggs', 'Soap'})",0.0222
"frozenset({'Yogurt', 'Chicken'})",0.0216
"frozenset({'Flour', 'Bananas'})",0.0246
"frozenset({'Oil', 'Beef'})",0.0214
"frozenset({'Tomatoes', 'Onions'})",0.0202
"frozenset({'Onions', 'Cheese'})",0.0188
"frozenset({'Coffee', 'Tea'})",0.0196
"frozenset({'Shampoo', 'Beef'})",0.0188
"frozenset({'Bananas', 'Cheese'})",0.025
"frozenset({'Bread', 'Beef'})",0.0206
"frozenset({'Rice', 'Cheese'})",0.0198
"frozenset({'Grapes', 'Cereal'})",0.02
"frozenset({'Fish', 'Tomatoes'})",0.0232
"frozenset({'Oranges', 'Cheese'})",0.0194
"frozenset({'Oil', 'Cereal'})",0.023
"frozenset({'Tomatoes', 'Tea'})",0.0182
"frozenset({'Bread', 'Apples'})",0.0238
"frozenset({'Tea', 'Cheese'})",0.0196
"frozenset({'Beef', 'Potatoes'})",0.021
"frozenset({'Sugar', 'Chicken'})",0.0216
"frozenset({'Sugar', 'Rice'})",0.0208
"frozenset({'Coffee', 'Beef'})",0.0204
"frozenset({'Soap', 'Pasta'})",0.0236
"frozenset({'Juice', 'Coffee'})",0.0226
"frozenset({'Tomatoes', 'Apples'})",0.02
"frozenset({'Sugar', 'Grapes'})",0.0208
"frozenset({'Flour', 'Coffee'})",0.023
"frozenset({'Soap', 'Onions'})",0.0238
"frozenset({'Fish', 'Salt'})",0.0252
"frozenset({'Eggs', 'Onions'})",0.0228
"frozenset({'Rice', 'Carrots'})",0.0228
"frozenset({'Oil', 'Pasta'})",0.0196
"frozenset({'Butter', 'Yogurt'})",0.0198
"frozenset({'Juice', 'Chicken'})",0.0184
"frozenset({'Butter', 'Carrots'})",0.0194
"frozenset({'Tomatoes', 'Beef'})",0.0214
"frozenset({'Beef', 'Bananas'})",0.02
"frozenset({'Grapes', 'Cheese'})",0.019
"frozenset({'Cereal', 'Potatoes'})",0.023
"frozenset({'Bread', 'Flour'})",0.0242
"frozenset({'Carrots', 'Cheese'})",0.0184
"frozenset({'Fish', 'Milk'})",0.0224
"frozenset({'Sugar', 'Tea'})",0.0184
"frozenset({'Tea', 'Beef'})",0.0204
"frozenset({'Salt', 'Potatoes'})",0.021
"frozenset({'Sugar', 'Salt'})",0.0184
"frozenset({'Rice', 'Tea'})",0.0218
"frozenset({'Oranges', 'Chicken'})",0.0214
"frozenset({'Rice', 'Oranges'})",0.0236
"frozenset({'Eggs', 'Oranges'})",0.0228
"frozenset({'Rice', 'Milk'})",0.0222
"frozenset({'Butter', 'Oranges'})",0.0188
"frozenset({'Milk', 'Bananas'})",0.0232
"frozenset({'Tomatoes', 'Potatoes'})",0.0188
"frozenset({'Salt', 'Cheese'})",0.0246
"frozenset({'Oranges', 'Toothpaste'})",0.0232
"frozenset({'Rice', 'Bananas'})",0.0222
"frozenset({'Rice', 'Tomatoes'})",0.0208
"frozenset({'Oil', 'Eggs'})",0.0188
"frozenset({'Carrots', 'Beef'})",0.0174
"frozenset({'Butter', 'Tomatoes'})",0.0224
"frozenset({'Rice', 'Onions'})",0.0214
"frozenset({'Cereal', 'Soap'})",0.0192
"frozenset({'Fish', 'Apples'})",0.024
"frozenset({'Salt', 'Tomatoes'})",0.024
"frozenset({'Salt', 'Milk'})",0.0204
"frozenset({'Carrots', 'Tea'})",0.0206
"frozenset({'Shampoo', 'Toothpaste'})",0.0204
"frozenset({'Salt', 'Soap'})",0.0244
"frozenset({'Sugar', 'Flour'})",0.0192
"frozenset({'Sugar', 'Yogurt'})",0.02
"frozenset({'Rice', 'Toothpaste'})",0.0238
"frozenset({'Oranges', 'Carrots'})",0.0222
"frozenset({'Eggs', 'Potatoes'})",0.022
"frozenset({'Sugar', 'Juice'})",0.0184
"frozenset({'Oranges', 'Onions'})",0.0196
"frozenset({'Oil', 'Coffee'})",0.0236
"frozenset({'Juice', 'Beef'})",0.0204
"frozenset({'Flour', 'Yogurt'})",0.0178
"frozenset({'Bread', 'Cheese'})",0.0244
"frozenset({'Juice', 'Yogurt'})",0.0188
"frozenset({'Toothpaste', 'Apples'})",0.021
"frozenset({'Oranges', 'Apples'})",0.0202
"frozenset({'Eggs', 'Cheese'})",0.0178
"frozenset({'Oranges', 'Tea'})",0.0214
"frozenset({'Oil', 'Cheese'})",0.0198
"frozenset({'Salt', 'Yogurt'})",0.0206
"frozenset({'Fish', 'Rice'})",0.022
"frozenset({'Fish', 'Butter'})",0.023
"frozenset({'Cereal', 'Pasta'})",0.021
"frozenset({'Yogurt', 'Tea'})",0.0192
"frozenset({'Beef', 'Apples'})",0.02
"frozenset({'Grapes', 'Milk'})",0.021
"frozenset({'Butter', 'Soap'})",0.0174
"frozenset({'Coffee', 'Pasta'})",0.0178
"frozenset({'Flour', 'Milk'})",0.0254
"frozenset({'Oranges', 'Grapes'})",0.022
"frozenset({'Juice', 'Soap'})",0.0212
"frozenset({'Soap', 'Toothpaste'})",0.023
"frozenset({'Flour', 'Pasta'})",0.0226
"frozenset({'Grapes', 'Yogurt'})",0.0166
"frozenset({'Bread', 'Chicken'})",0.0216
"frozenset({'Cheese', 'Pasta'})",0.0196
"frozenset({'Bread', 'Oranges'})",0.0246
"frozenset({'Cheese', 'Apples'})",0.0216
"frozenset({'Salt', 'Oranges'})",0.0224
"frozenset({'Yogurt', 'Toothpaste'})",0.0208
"frozenset({'Salt', 'Tea'})",0.021
"frozenset({'Cereal', 'Shampoo'})",0.0228
"frozenset({'Sugar', 'Bananas'})",0.021
"frozenset({'Sugar', 'Butter'})",0.0202
"frozenset({'Beef', 'Toothpaste'})",0.0208
"frozenset({'Flour', 'Potatoes'})",0.0196
"frozenset({'Butter', 'Beef'})",0.0216
"frozenset({'Tomatoes', 'Carrots'})",0.0216
"frozenset({'Flour', 'Chicken'})",0.0198
"frozenset({'Onions', 'Beef'})",0.0216
"frozenset({'Oil', 'Tomatoes'})",0.0188
"frozenset({'Soap', 'Apples'})",0.0222
"frozenset({'Beef', 'Pasta'})",0.0224
"frozenset({'Oil', 'Onions'})",0.0198
"frozenset({'Coffee', 'Soap'})",0.0202
"frozenset({'Salt', 'Beef'})",0.0186
"frozenset({'Salt', 'Carrots'})",0.0216
"frozenset({'Salt', 'Chicken'})",0.023
"frozenset({'Fish', 'Yogurt'})",0.02
"frozenset({'Butter', 'Tea'})",0.0216
"frozenset({'Tea', 'Chicken'})",0.0234
"frozenset({'Butter', 'Milk'})",0.0188
"frozenset({'Toothpaste', 'Pasta'})",0.0214
"frozenset({'Sugar', 'Carrots'})",0.021
"frozenset({'Onions', 'Potatoes'})",0.022
"frozenset({'Bread', 'Cereal'})",0.0202
"frozenset({'Coffee', 'Potatoes'})",0.022
"frozenset({'Sugar', 'Milk'})",0.0226
"frozenset({'Grapes', 'Chicken'})",0.0218
"frozenset({'Juice', 'Tomatoes'})",0.0214
